year,birthrate
1960,20.86
1961,18.02
1962,37.01
1963,43.37
1964,39.14
1965,37.88
1966,35.05
1967,33.96
1968,35.59
1969,34.11
1970,33.43
1971,30.65
1972,29.77
1973,27.93
1974,24.82
1975,23.01
1976,19.91
1977,18.93
1978,18.25
1979,17.82
1980,18.21
1981,20.91
1982,22.28
1983,20.19
1984,19.9
1985,21.04
1986,22.43
1987,23.33
1988,22.37
1989,21.58
1990,21.06
1991,19.68
1992,18.27
1993,18.09
1994,17.7
1995,17.12
1996,16.98
1997,16.57
1998,15.64
1999,14.64
2000,14.03
2001,13.38
2002,12.86
2003,12.41
2004,12.29
2005,12.4
2006,12.09
2007,12.1
2008,12.14
2009,11.95
2010,11.9
2011,13.27
2012,14.57
2013,13.03
2014,13.83
2015,11.99
2016,13.57
2017,12.64
2018,10.86
2019,10.41
2020,8.52
2021,7.52
2022,6.77
2023,6.39




